Step 7: Joint Support Tags
Sequence | Max Force
2140       | 0.04    
2140       | 0.02    
2140       | 61.66   
2140       | 0.04    
2140       | 0.02    
2140       | 15.93   
2140       | 2.96    
2140       | 1.32    
2140       | 12.94   
2140       | 2.96    
2140       | 1.31    
2140       | 37.88   
2140       | 2.65    
2140       | 1.21    
2140       | 34.93   
2140       | 2.63    
2140       | 1.20    
2140       | 9.47    
2140       | 2.61    
2140       | 1.16    
2140       | 7.49    
2140       | 2.61    
2140       | 1.16    
2140       | 6.36    
2140       | 4.34    
2140       | 1.93    
2140       | 15.80   
2140       | 2.03    
2140       | 0.93    
2140       | 14.39   
2140       | 2.03    
2140       | 0.92    
2140       | 27.31   
2140       | 3.86    
2140       | 1.70    
2140       | 23.37   
2140       | 3.85    
2140       | 1.69    
2140       | 27.02   
2140       | 3.85    
2140       | 1.70    
2140       | 23.11   
2140       | 3.84    
2140       | 1.70    
2140       | 21.86   
2140       | 4.69    
2140       | 2.09    
2140       | 21.89   
2140       | 4.68    
2140       | 2.08    
2140       | 49.03   
2140       | 0.04    
2140       | 0.02    
2140       | 48.76   
2140       | 0.04    
2140       | 0.02    
2140       | 7.79    
2140       | 5.94    
2140       | 2.67    
2140       | 88.48   
2140       | 0.02    
2140       | 0.01    
2150       | 16.94   
2150       | 79.44   
2150       | 9.04    
2150       | 38.94   
2150       | 20.72   
2150       | 68.68   
2150       | 9.06    
2150       | 26.99   
2150       | 55.49   
2150       | 7.36    
2150       | 30.95   
2150       | 11.46   
2150       | 59.31   
2150       | 11.59   
2150       | 58.25   
2160       | 30.31   
2160       | 36.24   
2160       | 11.47   
2160       | 15.06   
2160       | 30.58   
2160       | 33.60   
2160       | 6.10    
2160       | 9.17    
2160       | 3.12    
2160       | 12.31   
2160       | 14.55   
2160       | 20.99   
2160       | 25.74   
2160       | 20.90   
2160       | 25.53   
2170       | 6.93    
2170       | 5.51    
2170       | 2.34    
2170       | 51.99   
2170       | 6.12    
2170       | 1.87    
2170       | 25.63   
2170       | 0.06    
2170       | 0.03    
2170       | 34.08   
2170       | 0.12    
2170       | 0.05    
2170       | 22.10   
2170       | 5.70    
2170       | 2.71    
2170       | 30.90   
2170       | 6.23    
2170       | 2.25    
2170       | 5.70    
2170       | 3.40    
2170       | 1.39    
2170       | 25.86   
2170       | 3.64    
2170       | 1.21    
2170       | 14.42   
2170       | 2.81    
2170       | 1.44    
2170       | 43.60   
2170       | 3.52    
2170       | 1.00    
2170       | 5.65    
2170       | 2.94    
2170       | 1.19    
2170       | 17.34   
2170       | 3.08    
2170       | 1.08    
2170       | 36.38   
2170       | 5.68    
2170       | 1.97    
2170       | 4.69    
2170       | 2.16    
2170       | 1.01    
2170       | 19.40   
2170       | 2.45    
2170       | 0.82    
2170       | 5.03    
2170       | 4.39    
2170       | 1.82    
